emoji_slug_hash,emoji_slug,image_type,filename,file_path,exists
7843908573446213677,man-medium-dark-skin-tone-blond-hair,ms-fluentui,person_blonde_hair_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-medium-dark-skin-tone-blond-hair/person_blonde_hair_flat_medium-dark.webp,no
7689095879212298535,man-medium-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-medium-light-skin-tone/man_flat_light.webp,no
6585085498835947421,man-medium-light-skin-tone-blond-hair,ms-fluentui,person_blonde_hair_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-medium-light-skin-tone-blond-hair/person_blonde_hair_flat_light.webp,no
7793250883510611860,man-medium-skin-tone,ms-fluentui,man_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-medium-skin-tone/man_flat_medium.webp,no
-5523601355813292940,man-medium-skin-tone-blond-hair,ms-fluentui,person_blonde_hair_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-medium-skin-tone-blond-hair/person_blonde_hair_flat_medium.webp,no
4453362486653046868,man-mountain-biking,ms-fluentui,man_mountain_biking_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mountain-biking/man_mountain_biking_high_contrast_default.webp,no
-9177182933258608683,man-mountain-biking-dark-skin-tone,ms-fluentui,person_mountain_biking_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mountain-biking-dark-skin-tone/person_mountain_biking_flat_dark.webp,no
-6595369728305950009,man-mountain-biking-light-skin-tone,ms-fluentui,person_mountain_biking_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mountain-biking-light-skin-tone/person_mountain_biking_flat_light.webp,no
-5271522300594570016,man-mountain-biking-medium-dark-skin-tone,ms-fluentui,person_mountain_biking_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mountain-biking-medium-dark-skin-tone/person_mountain_biking_flat_medium-dark.webp,no
-1343687390517575404,man-mountain-biking-medium-light-skin-tone,ms-fluentui,person_mountain_biking_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mountain-biking-medium-light-skin-tone/person_mountain_biking_flat_light.webp,no
-8557953381739796739,man-mountain-biking-medium-skin-tone,ms-fluentui,person_mountain_biking_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mountain-biking-medium-skin-tone/person_mountain_biking_flat_medium.webp,no
7585133486503020879,man-office-worker,ms-fluentui,man_office_worker_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-office-worker/man_office_worker_high_contrast_default.webp,no
-2948646757938997327,man-office-worker-dark-skin-tone,ms-fluentui,man_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-office-worker-dark-skin-tone/man_flat_dark.webp,no
4906276247652880556,man-office-worker-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-office-worker-light-skin-tone/man_flat_light.webp,no
-7936026839919352867,man-office-worker-medium-dark-skin-tone,ms-fluentui,man_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-office-worker-medium-dark-skin-tone/man_flat_medium-dark.webp,no
3866148526319121708,man-office-worker-medium-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-office-worker-medium-light-skin-tone/man_flat_light.webp,no
-7240364082589907879,man-office-worker-medium-skin-tone,ms-fluentui,man_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-office-worker-medium-skin-tone/man_flat_medium.webp,no
1207722077368345333,man-pilot,ms-fluentui,man_pilot_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-pilot/man_pilot_high_contrast_default.webp,no
-243261678355935706,man-pilot-dark-skin-tone,ms-fluentui,man_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-pilot-dark-skin-tone/man_flat_dark.webp,no
