emoji_slug_hash,emoji_slug,filename,image_type,emoji_slug_only_hash,reason
-1045320199106698970,man-tipping-hand-medium-dark-skin-tone,person_tipping_hand_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
866725517594482402,man-tipping-hand-medium-light-skin-tone,person_tipping_hand_flat_light.webp,ms-fluentui,,not_found_in_backup_db
2091225998753057643,man-tipping-hand-medium-skin-tone,person_tipping_hand_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-5286716718351436129,man-vampire,man_vampire_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
6530031775242857349,man-walking,man_walking_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
5420763016898076736,man-walking-dark-skin-tone,person_walking_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-78137717618464543,man-walking-facing-right,man_walking_facing_right_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
814450508427139163,man-walking-light-skin-tone,person_walking_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-8847541519330593951,man-walking-medium-dark-skin-tone,person_walking_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-7901014149016763094,man-walking-medium-light-skin-tone,person_walking_flat_light.webp,ms-fluentui,,not_found_in_backup_db
6196953315955819930,man-walking-medium-skin-tone,person_walking_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
8045799420289840537,man-wearing-turban,man_wearing_turban_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
6109857245163446289,man-wearing-turban-dark-skin-tone,person_wearing_turban_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
7210148648498081002,man-wearing-turban-light-skin-tone,person_wearing_turban_flat_light.webp,ms-fluentui,,not_found_in_backup_db
8894129549894448120,man-wearing-turban-medium-dark-skin-tone,person_wearing_turban_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-2262794214776978888,man-wearing-turban-medium-light-skin-tone,person_wearing_turban_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-6777646484629597915,man-wearing-turban-medium-skin-tone,person_wearing_turban_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
956267725348437789,man-white-hair,man_white_hair_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-1700149315362847579,man-with-veil,man_with_veil_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
